city,year,month,temperature_mean,pressure_mean,wind_speed_mean,dew_point_mean,humidity_mean
Zhangye,2025,1,-5.888440860215054,1030.6698924731184,6.015591397849463,-16.48521505376344,47.505376344086024
Zhangye,2025,2,-3.777529761904762,1027.900892857143,6.602380952380953,-18.904761904761905,35.14732142857143
Zhangye,2025,3,2.458467741935484,1023.100940860215,7.768548387096774,-16.340994623655916,29.06451612903226
Zhangye,2025,4,11.700138888888889,1015.5401388888889,9.219444444444445,-8.495277777777778,28.818055555555556
Zhangye,2025,5,17.925,1010.1387096774193,10.238709677419354,-2.812231182795699,30.13037634408602
Zhangye,2025,6,22.252361111111114,1006.1698611111112,8.793888888888889,3.4345833333333333,36.69583333333333
Zhangye,2025,7,24.65416666666667,1002.6216397849462,9.420967741935483,11.454704301075267,48.74596774193548
Zhangye,2025,8,21.78293010752688,1007.5112903225806,7.631854838709678,10.995026881720431,54.994623655913976
Zhangye,2025,9,18.34986111111111,1012.0695833333333,8.5025,3.3970833333333337,41.291666666666664
Zhangye,2025,10,9.194489247311827,1020.7452956989247,7.411559139784946,-1.5620967741935485,51.950268817204304
Zhangye,2025,11,1.4015277777777777,1028.0577777777778,7.523472222222222,-13.360555555555557,36.38472222222222
Zhangye,2025,12,-3.79744623655914,1027.2685483870969,6.628225806451613,-14.566532258064516,48.450268817204304
Jiuquan,2024,1,-6.115456989247312,1029.341801075269,6.080107526881721,-18.406720430107526,40.759408602150536
Jiuquan,2024,2,-5.548275862068965,1028.355459770115,7.265086206896552,-16.233045977011496,48.55028735632184
Jiuquan,2024,3,5.053763440860215,1017.3389784946236,8.818279569892473,-13.83763440860215,27.736559139784948
Jiuquan,2024,4,11.979305555555555,1012.6286111111111,9.57875,-7.7275,29.655555555555555
Jiuquan,2024,5,20.68951612903226,1008.7756720430107,11.02755376344086,-3.155779569892473,23.28494623655914
Jiuquan,2024,6,23.510416666666668,1005.8044444444444,10.888055555555555,2.6918055555555553,29.356944444444444
Jiuquan,2024,7,24.919086021505375,1002.1864247311827,10.087768817204301,8.64731182795699,39.57258064516129
Jiuquan,2024,8,24.103763440860217,1006.2538978494624,10.881451612903225,7.170295698924731,38.33064516129032
Jiuquan,2024,9,16.26013888888889,1014.6822222222222,7.835138888888889,7.344722222222222,59.044444444444444
Jiuquan,2024,10,10.497177419354838,1018.7134408602151,7.295564516129032,-4.146370967741936,38.69892473118279
Jiuquan,2024,11,2.40625,1026.3109722222223,5.737638888888889,-8.900277777777777,46.209722222222226
Jiuquan,2024,12,-8.108870967741936,1034.1383064516128,4.1840053763440865,-17.332930107526884,50.490591397849464
Jiuquan,2025,1,-6.109139784946236,1031.1936827956988,4.983198924731183,-17.396236559139783,43.88172043010753
Jiuquan,2025,2,-3.9449404761904763,1028.4150297619049,5.936607142857143,-20.001339285714284,31.174107142857142
Jiuquan,2025,3,2.3509408602150534,1023.5334677419355,8.222043010752689,-16.60241935483871,28.236559139784948
Jiuquan,2025,4,12.50875,1015.5795833333334,11.235416666666667,-9.232083333333334,24.218055555555555
Jiuquan,2025,5,18.466263440860214,1010.3518817204301,12.31774193548387,-3.507930107526882,27.231182795698924
Jiuquan,2025,6,22.874861111111112,1006.228888888889,10.115277777777777,2.325972222222222,32.12361111111111
Jiuquan,2025,7,24.62889784946237,1002.7326612903225,9.123521505376344,10.248521505376344,44.85618279569893
Jiuquan,2025,8,23.00994623655914,1007.2369623655915,8.671639784946237,7.464247311827957,42.026881720430104
Jiuquan,2025,9,17.679305555555555,1012.6083333333333,7.824722222222222,1.0273611111111112,35.793055555555554
Jiuquan,2025,10,8.185349462365592,1021.7168010752689,5.956317204301075,-4.202688172043011,45.163978494623656
Jiuquan,2025,11,1.06125,1028.2190277777777,6.618333333333333,-14.20125,33.6625
Jiuquan,2025,12,-4.302956989247312,1027.7647849462367,5.217069892473118,-14.574059139784946,50.24731182795699
